"Date","Price","Open","High","Low","Change %"
"Apr 03, 2015","56.6100","56.6453","56.6100","56.6100","-0.06"
"Apr 02, 2015","56.6453","57.6204","56.6453","56.6453","-1.69"
"Apr 01, 2015","57.6204","58.1993","57.6204","57.6204","-0.99"
"Mar 31, 2015","58.1993","57.5936","58.1993","58.1993","1.05"
"Mar 30, 2015","57.5936","57.8960","57.5936","57.5936","-0.52"
"Mar 27, 2015","57.8960","57.2957","57.8960","57.8960","1.05"
"Mar 26, 2015","57.2957","57.3978","57.2957","57.2957","-0.18"
"Mar 25, 2015","57.3978","57.7006","57.3978","57.3978","-0.52"
"Mar 24, 2015","57.7006","58.7450","57.7006","57.7006","-1.78"
"Mar 23, 2015","58.7450","59.2727","58.7450","58.7450","-0.89"
"Mar 20, 2015","59.2727","59.9972","59.2727","59.2727","-1.21"
"Mar 19, 2015","59.9972","59.3145","59.9972","59.9972","1.15"
"Mar 18, 2015","59.3145","61.4528","59.3145","59.3145","-3.48"
"Mar 17, 2015","61.4528","62.1895","61.4528","61.4528","-1.18"
"Mar 16, 2015","62.1895","62.2160","62.1895","62.1895","-0.04"
"Mar 13, 2015","62.2160","61.2711","62.2160","62.2160","1.54"
"Mar 12, 2015","61.2711","61.6381","61.2711","61.2711","-0.60"
"Mar 11, 2015","61.6381","62.5248","61.6381","61.6381","-1.42"
"Mar 10, 2015","62.5248","60.4303","62.5248","62.5248","2.86"
"Mar 09, 2015","60.7890","60.3830","61.0850","60.0000","0.59"
"Mar 06, 2015","60.4303","60.8328","60.4303","60.4303","-0.66"
"Mar 05, 2015","60.8328","61.9741","60.8328","60.8328","-1.84"
"Mar 04, 2015","61.9741","61.9255","61.9741","61.9741","0.08"
"Mar 03, 2015","61.9255","62.6193","61.9255","61.9255","-1.11"
"Mar 02, 2015","62.6193","61.6207","62.6193","62.6193","1.62"
"Feb 27, 2015","61.6207","61.1606","61.6207","61.6207","0.75"
"Feb 26, 2015","61.1606","61.3583","61.1606","61.1606","-0.32"
"Feb 25, 2015","61.3583","62.8549","61.3583","61.3583","-2.38"
"Feb 24, 2015","62.8549","62.0120","62.8549","62.8549","-1.48"
"Feb 23, 2015","63.8000","62.1500","64.6000","61.5000","2.88"
"Feb 20, 2015","62.0120","61.9023","62.0120","62.0120","0.18"
"Feb 19, 2015","61.9023","61.5669","61.9023","61.9023","0.54"
"Feb 18, 2015","61.5669","62.5819","61.5669","61.5669","-1.62"
"Feb 17, 2015","62.5819","63.1931","62.5819","62.5819","-0.97"
"Feb 16, 2015","63.1931","63.5449","63.1931","63.1931","-0.55"
"Feb 13, 2015","63.5449","65.1725","63.5449","63.5449","-2.50"
